Projections	Frames	Exposure(ms)
512	1	354.00
Projection	Angle(deg)	Time(s)
81	056.8113	  32.215157300000001
82	057.5264	  32.569112199999999
83	058.2112	  32.923095099999998
84	058.9265	  33.277229599999998
85	059.6357	  33.631223200000001
86	060.3267	  33.985213199999997
87	061.0420	          34.3392397
88	061.7273	  34.693268600000003
89	062.4419	  35.047264599999998
90	063.1509	  35.401300499999998
91	063.8423	  35.755238400000003
92	064.5571	          36.1092668
93	065.2427	  36.463353400000003
94	065.9578	  36.817329000000001
95	066.6668	  37.171444399999999
96	067.3579	  37.525305099999997
97	068.0728	  37.879499899999999
98	068.7583	          38.2334283
99	069.4731	  38.587451999999999
100	070.1826	  38.941472599999997
101	070.8738	          39.2954376
102	071.5889	  39.649551299999999
103	072.2742	  40.003526200000003
104	072.9890	  40.357500299999998
105	073.6982	  40.711467800000001
106	074.3892	  41.065541799999998
107	075.1043	          41.4196101
108	075.7896	  41.773715199999998
109	076.5046	          42.1275458
110	077.2139	  42.481711300000001
111	077.9048	  42.835641199999998
112	078.6196	          43.1896694
113	079.3049	  43.543632100000004
114	080.0200	  43.897770800000004
115	080.7295	  44.251633400000003
116	081.4202	  44.605785500000003
117	082.1355	  44.959782199999999
118	082.8210	  45.313812499999997
119	083.5356	  45.667791899999997
120	084.2451	  46.021826900000001
121	084.9363	  46.375870900000002
122	085.6514	  46.729877399999999
123	086.3362	  47.083869999999997
124	087.0513	  47.437783699999997
125	087.7605	  47.791900099999999
126	088.4517	  48.145859700000003
127	089.1668	  48.499910800000002
128	089.8518	  48.853921399999997
129	090.5669	  49.208023099999998
130	091.2764	  49.561949900000002
131	091.9673	  49.915955599999997
132	092.6821	  50.269941299999999
133	093.3916	  50.623994799999998
134	094.0828	  50.978059299999998
135	094.7918	  51.331995200000001
136	095.4827	  51.686027600000003
137	096.1982	  52.040171899999997
138	096.9070	  52.394105000000003
139	097.5981	  52.748088799999998
140	098.3135	          53.1021067
141	098.9985	  53.456123499999997
142	099.7134	  53.810219799999999
143	100.3987	  54.164073199999997
144	101.1140	  54.518187599999997
145	101.8291	  54.872168500000001
146	102.5142	  55.226210299999998
147	103.2292	          55.5802573
148	103.9380	  55.934251000000003
149	104.6294	  56.288223600000002
150	105.3445	  56.642280999999997
151	106.0298	          56.9962673
152	106.7451	  57.350346799999997
153	107.4541	  57.704278799999997
154	108.1453	  58.058335700000001
155	108.8604	  58.412318900000002
156	109.5454	  58.766423500000002
157	110.2605	  59.120389199999998
158	110.9695	  59.474487699999997
159	111.6606	  59.828384200000002
160	112.3757	          60.1824674
161	113.0613	  60.536454499999998
162	113.7764	          60.8904712
163	114.4858	  61.244472000000002
164	115.1763	  61.598452899999998
165	115.8914	  61.952523200000002
166	116.5764	  62.306617699999997
167	117.2915	  62.660666200000001
168	118.0015	  63.014618800000001
169	118.6919	  63.368572399999998
170	119.4072	          63.7226462
171	120.0923	  64.076614599999999
172	120.8071	  64.430667200000002
173	121.5171	  64.784591800000001
174	122.2075	  65.138689999999997
175	122.9226	  65.492657500000007
176	123.6077	  65.846627600000005
177	124.3230	  66.200816599999996
178	125.0327	  66.554761499999998
179	125.7231	  66.908846499999996
180	126.4382	  67.262763899999996
181	127.1235	  67.616761199999999
182	127.8384	  67.970732400000003
183	128.5486	  68.324883499999999
184	129.2388	  68.678817800000004
185	129.9541	  69.032870299999999
186	130.6392	  69.386888099999993
187	131.3540	  69.740934999999993
188	132.0637	  70.094825499999999
189	132.7544	  70.448910900000001
190	133.4695	  70.802876699999999
191	134.1545	  71.156931999999998
192	134.8696	  71.511071400000006
193	135.5796	  71.864989499999993
194	136.2703	  72.218986000000001
195	136.9854	  72.573035399999995
196	137.6704	  72.927027499999994
197	138.3853	  73.281042099999993
198	139.0950	  73.634995900000007
199	139.7856	  73.989091700000003
200	140.5007	  74.343184300000004
201	141.1858	  74.697084099999998
202	141.9014	  75.051145199999993
203	142.6106	  75.405193499999996
204	143.3013	  75.759182600000003
205	144.0166	  76.113260299999993
206	144.7017	  76.467221899999998
207	145.4165	  76.821251799999999
208	146.1262	  77.175191999999996
209	146.8169	  77.529314099999993
210	147.5320	  77.883261200000007
211	148.2173	  78.237303400000002
212	148.9321	  78.591324400000005
213	149.6421	  78.945309399999999
214	150.3328	  79.299263100000005
215	151.0479	  79.653348300000005
